date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2024-01-03,C,2494.29,c2401,2429.0,c2405,2435.0,2401,2405,-65.28999999999996,-59.289999999999964,-0.026175785494068404,-0.02377029134543296
2024-01-03,A,4800.0,a2401,4817.0,a2403,4856.0,2401,2403,17.0,56.0,0.003541666666666776,0.011666666666666714
2024-01-03,M,3884.0,m2401,3777.0,m2405,3245.0,2401,2405,-107.0,-639.0,-0.027548918640576736,-0.16452111225540678
2024-01-03,Y,7920.0,y2401,7506.0,y2405,7372.0,2401,2405,-414.0,-548.0,-0.05227272727272725,-0.06919191919191914
2024-01-03,P,6990.0,p2401,6876.0,p2405,6952.0,2401,2405,-114.0,-38.0,-0.016309012875536433,-0.005436337625178811
2024-01-03,JD,4340.0,jd2401,3791.0,jd2403,3535.0,2401,2403,-549.0,-805.0,-0.12649769585253456,-0.18548387096774188
2024-01-03,L,8250.0,l2401,8088.0,l2405,8196.0,2401,2405,-162.0,-54.0,-0.019636363636363674,-0.006545454545454521
2024-01-03,V,5628.0,v2401,5670.0,v2405,5945.0,2401,2405,42.0,317.0,0.00746268656716409,0.05632551528073915
2024-01-03,PP,7628.57,pp2401,7410.0,pp2405,7477.0,2401,2405,-218.5699999999997,-151.5699999999997,-0.028651503492790886,-0.019868730312496252
2024-01-03,J,2430.0,j2401,2539.0,j2405,2572.5,2401,2405,109.0,142.5,0.044855967078189396,0.058641975308642014
2024-01-03,JM,2450.0,jm2401,2000.0,jm2405,1973.0,2401,2405,-450.0,-477.0,-0.18367346938775508,-0.1946938775510204
2024-01-03,I,1085.0,i2401,1076.0,i2405,1017.5,2401,2405,-9.0,-67.5,-0.00829493087557609,-0.062211981566820285
2024-01-03,EG,4386.67,eg2401,4429.0,eg2405,4581.0,2401,2405,42.32999999999993,194.32999999999993,0.009649688716041993,0.044300118312980086
2024-01-03,EB,8500.0,eb2401,8416.0,eb2402,8543.0,2401,2402,-84.0,43.0,-0.009882352941176453,0.005058823529411782
2024-01-03,PG,4966.0,pg2401,4861.0,pg2402,4868.0,2401,2402,-105.0,-98.0,-0.021143777688280352,-0.01973419250906161
2024-01-03,LH,14330.0,lh2401,13520.0,lh2403,13765.0,2401,2403,-810.0,-565.0,-0.05652477320307048,-0.03942777390090724
2024-01-03,WH,2838.0,WH401,3198.0,WH411,3198.0,2401,2411,360.0,360.0,0.12684989429175486,0.12684989429175486
2024-01-03,PM,2838.0,PM401,3122.0,PM411,3122.0,2401,2411,284.0,284.0,0.10007047216349552,0.10007047216349552
2024-01-03,CF,16467.0,CF401,15560.0,CF405,15645.0,2401,2405,-907.0,-822.0,-0.055079856683063144,-0.04991801785388961
2024-01-03,SR,6706.0,SR401,6375.0,SR405,6330.0,2401,2405,-331.0,-376.0,-0.04935878317924247,-0.05606919176856551
2024-01-03,TA,5896.0,TA401,5828.0,TA405,5878.0,2401,2405,-68.0,-18.0,-0.011533242876526462,-0.0030529172320217235
2024-01-03,OI,7950.0,OI401,7755.0,OI405,7816.0,2401,2405,-195.0,-134.0,-0.024528301886792447,-0.016855345911949704
2024-01-03,MA,2422.5,MA401,2361.0,MA405,2404.0,2401,2405,-61.5,-18.5,-0.025386996904024794,-0.007636738906088736
2024-01-03,FG,1733.6000000000001,FG401,1851.0,FG405,1965.0,2401,2405,117.39999999999986,231.39999999999986,0.06772035071527438,0.13347946469773864
